央视专区,#genre#
CCTV1,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/1.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888910/224/3221225642/index.m3u8?fmt=ts2hls
CCTV2,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8?fmt=ts2hls
CCTV3,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888910/224/3221225634/index.m3u8?fmt=ts2hls
CCTV4,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226470/1.m3u8
CCTV4,http://39.135.138.58:18890/PLTV/88888910/224/3221225621/index.m3u8?fmt=ts2hls
CCTV4欧洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8
CCTV4欧洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2_hd/index.m3u8
CCTV4美洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2_hd/index.m3u8
CCTV4美洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2/index.m3u8
CCTV5,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8
CCTV5,http://39.135.138.58:18890/PLTV/88888910/224/3221225795/index.m3u8?fmt=ts2hls
CCTV5+,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226458/1.m3u8
CCTV5+,http://39.135.138.58:18890/PLTV/88888910/224/3221225706/index.m3u8?fmt=ts2hls
CCTV6,http://39.135.138.58:18890/PLTV/88888910/224/3221225650/index.m3u8?fmt=ts2hls
CCTV6,http://39.135.138.58:18890/PLTV/88888910/224/3221225632/index.m3u8?fmt=ts2hls
CCTV7,http://39.135.138.58:18890/PLTV/88888910/224/3221225624/index.m3u8?fmt=ts2hls
CCTV7,http://39.135.138.58:18890/PLTV/88888910/224/3221225644/index.m3u8?fmt=ts2hls
CCTV8,http://39.135.138.58:18890/PLTV/88888910/224/3221225635/index.m3u8?fmt=ts2hls
CCTV8,http://39.135.138.58:18890/PLTV/88888910/224/3221225631/index.m3u8?fmt=ts2hls
CCTV9,http://39.135.138.58:18890/PLTV/88888910/224/3221225626/index.m3u8?fmt=ts2hls
CCTV9,http://39.135.138.58:18890/PLTV/88888910/224/3221225646/index.m3u8?fmt=ts2hls
CCTV10,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226464/1.m3u8
CCTV10,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226464/1.m3u8
CCTV11,http://39.135.138.58:18890/PLTV/88888910/224/3221225628/index.m3u8?fmt=ts2hls
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.135.138.58:18890/PLTV/88888910/224/3221225629/index.m3u8?fmt=ts2hls
CCTV12,http://39.135.138.58:18890/PLTV/88888910/224/3221225637/index.m3u8?fmt=ts2hls
CCTV13,http://39.135.138.58:18890/PLTV/88888910/224/3221225638/index.m3u8?fmt=ts2hls
CCTV13,http://221.179.136.143/PLTV/88888888/224/3221226316/1.m3u8
CCTV14,http://39.135.138.58:18890/PLTV/88888910/224/3221225639/index.m3u8?fmt=ts2hls
CCTV14,http://39.135.138.58:18890/PLTV/88888910/224/3221225640/index.m3u8?fmt=ts2hls
CCTV15,http://39.135.138.58:18890/PLTV/88888910/224/3221225641/index.m3u8?fmt=ts2hls
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226318/1.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225907/index.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

卫视专区,#genre#
凤凰中文,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225948/1.m3u8#http://yuniptvunql.chinayungu.cn:65530/live/fhzw/index.m3u8
凤凰中文,http://221.179.217.70/PLTV/88888888/224/3221225942/www-dszbdq-cn.m3u8
凤凰资讯,http://112.17.40.197:80/PLTV/88888888/224/3221226491/index.m3u8#http://yuniptvunql.chinayungu.cn:65530/live/fhzx/index.m3u8
凤凰资讯,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰香港,http://125.89.166.215/live-hwcdn.utvlive.top/live/a4e8cf74196e40959485a9ef4c532d02/6286b2bbb78341cd9fa92c7b37ccc03c.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
有线新闻,http://125.89.166.215/live-hwcdn.utvlive.top/live/fe19cd44717842fea90503d10aa7bab9/543b4d76d8614cf49194abe9db521736-1.m3u8
台湾大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
台湾大爱,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
台湾大爱,https://pulltv3.wanfudaluye.com/live/tv3.m3u8


东南卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226406/1.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
东方卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226237/1.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
江苏卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226366/1.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
江西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226243/1.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
河北卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226507/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
浙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226365/1.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
深圳卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226245/1.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
湖南卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226509/1.m3u8
